location,date,variant,num_sequences,perc_sequences,num_sequences_total
Sweden,2021-05-17,Alpha,5300,96.87,5471
Sweden,2021-05-17,Gamma,14,0.26,5471
Sweden,2021-05-17,Delta,27,0.49,5471
Sweden,2021-05-17,Kappa,0,0.0,5471
Sweden,2021-05-17,Epsilon,0,0.0,5471
Sweden,2021-05-17,Eta,0,0.0,5471
Sweden,2021-05-17,Iota,1,0.02,5471
Sweden,2021-05-17,Lambda,0,0.0,5471
Sweden,2021-05-17,B.1.621,0,0.0,5471
Sweden,2021-05-17,S:677P.Pelican,,,5471
Sweden,2021-05-17,S:677H.Robin1,,,5471
Sweden,2021-05-17,others,23,0.42,5471
Sweden,2021-05-17,non_who,29,0.53,5471
Sweden,2021-05-31,B.1.160,1,0.03,3426
Sweden,2021-05-31,B.1.620,1,0.03,3426
Sweden,2021-05-31,B.1.258,0,0.0,3426
Sweden,2021-05-31,B.1.221,0,0.0,3426
Sweden,2021-05-31,B.1.1.302,0,0.0,3426
Sweden,2021-05-31,B.1.1.277,0,0.0,3426
Sweden,2021-05-31,B.1.1.519,0,0.0,3426
Sweden,2021-05-31,B.1.367,0,0.0,3426
Sweden,2021-05-31,B.1.177,1,0.03,3426
Sweden,2021-05-31,Beta,65,1.9,3426
Sweden,2021-05-31,Alpha,3232,94.34,3426
Sweden,2021-05-31,Gamma,17,0.5,3426
Sweden,2021-05-31,Delta,81,2.36,3426
Sweden,2021-05-31,Kappa,0,0.0,3426
Sweden,2021-05-31,Epsilon,0,0.0,3426
Sweden,2021-05-31,Eta,0,0.0,3426
Sweden,2021-05-31,Iota,0,0.0,3426
Sweden,2021-05-31,Lambda,0,0.0,3426
Sweden,2021-05-31,B.1.621,1,0.03,3426
Sweden,2021-05-31,S:677P.Pelican,,,3426
Sweden,2021-05-31,S:677H.Robin1,,,3426
Sweden,2021-05-31,others,27,0.78,3426
Sweden,2021-05-31,non_who,31,0.9,3426
Sweden,2021-06-14,B.1.160,0,0.0,3278
Sweden,2021-06-14,B.1.620,0,0.0,3278
Sweden,2021-06-14,B.1.258,0,0.0,3278
Sweden,2021-06-14,B.1.221,0,0.0,3278
Sweden,2021-06-14,B.1.1.302,0,0.0,3278
Sweden,2021-06-14,B.1.1.277,0,0.0,3278
Sweden,2021-06-14,B.1.1.519,0,0.0,3278
Sweden,2021-06-14,B.1.367,0,0.0,3278
Sweden,2021-06-14,B.1.177,3,0.09,3278
Sweden,2021-06-14,Beta,14,0.43,3278
Sweden,2021-06-14,Alpha,2478,75.59,3278
